Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Year,Primary Breach Type,Business Associate Present,has_narrative,Primary Vector,vec: Ransomware,vec: Phishing / email compromise,vec: Other hacking / IT intrusion,vec: Insider snooping / misuse,vec: Stolen device / burglary,vec: Lost device / records,vec: Improper disposal,vec: Misdirected / inadvertent disclosure,rem: New/updated safeguards,rem: Staff retrained,rem: Credit monitoring offered,rem: Corrective action plan,rem: OCR technical assistance,rem: Discipline / termination,rem: Encryption implemented,rem: Policies revised
Catholic Health System,NY,Healthcare Provider,904.0,2022,Hacking/IT Incident,Yes,True,Phishing / email compromise,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False
"Kevin Wolf, DPM d/b/a Goldsboro Podiatry",NC,Healthcare Provider,30668.0,2022,Hacking/IT Incident,Yes,True,Ransomware,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
St Joseph Heritage Health,CA,Healthcare Provider,7229.0,2022,Hacking/IT Incident,Yes,True,Other hacking / IT intrusion,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False
Surgery Partners (North Carolina Specialty Hospital),TN,Business Associate,8258.0,2022,Hacking/IT Incident,Yes,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Surgery Partners (Lafayette Surgical Specialty Hospital),TN,Business Associate,3527.0,2022,Hacking/IT Incident,Yes,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Mattax Neu Prater Eye Center, Inc.",MO,Healthcare Provider,92361.0,2022,Hacking/IT Incident,Yes,True,Other hacking / IT intrusion,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
"Benefit Plan Administrators, Inc.",VA,Business Associate,735.0,2022,Hacking/IT Incident,Yes,True,Other hacking / IT intrusion,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False
"Benefit Plan Administrators, Inc.",VA,Business Associate,1267.0,2022,Hacking/IT Incident,Yes,True,Other hacking / IT intrusion,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False
Rodeo Pharmacy Inc,NJ,Healthcare Provider,1574.0,2022,Unauthorized Access/Disclosure,No,True,Other / unspecified,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
University Pediatric Dentistry,NY,Healthcare Provider,6843.0,2022,Hacking/IT Incident,No,True,Phishing / email compromise,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Foxhall Ob Gyn Associates,DC,Healthcare Provider,27000.0,2022,Unauthorized Access/Disclosure,No,True,Other / unspecified,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Hudson Regional Hospital,NJ,Healthcare Provider,1265.0,2022,Hacking/IT Incident,Yes,True,Ransomware,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
