Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Year,Type of Breach,Primary Breach Type,Location of Breached Information,Business Associate Present,Status,cluster
Carnegie Tri-County Municipal Hospital,OK,Healthcare Provider,1076.0,2020-09-04,2020,Improper Disposal,Improper Disposal,Paper/Films,No,Archived,1
"Servicios de Salud Primarios de Barceloneta, Inc.",,Healthcare Provider,60200.0,2020-09-04,2020,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
Regions Hospital,MN,Healthcare Provider,52795.0,2020-09-04,2020,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,0
Advocate Aurora Health,WI,Healthcare Provider,2979.0,2020-09-04,2020,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Paper/Films,No,Archived,1
Erlanger Health System,TN,Healthcare Provider,4938.0,2020-09-04,2020,Loss,Loss,Other Portable Electronic Device,Yes,Archived,1
NorthShore University HealthSystem,IL,Healthcare Provider,348746.0,2020-09-04,2020,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,0
Roper St. Francis Healthcare,SC,Healthcare Provider,6000.0,2020-09-03,2020,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
H. Lee Moffitt Cancer Center & Research Institute,FL,Healthcare Provider,4056.0,2020-09-02,2020,Theft,Theft,"Other Portable Electronic Device, Paper/Films",No,Archived,4
"The  Baton Rouge Clinic, A Medical Corporation",LA,Healthcare Provider,308169.0,2020-09-02,2020,Hacking/IT Incident,Hacking/IT Incident,"Desktop Computer, Email, Network Server",No,Archived,0
Atrium Health,NC,Healthcare Provider,165000.0,2020-09-01,2020,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,0
Spectrum Health,MI,Healthcare Provider,52711.0,2020-09-01,2020,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,0
Quality of Life Medical and Research Center,AZ,Healthcare Provider,6000.0,2020-08-31,2020,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
BEACON ORTHOPAEDICS & SPORTS MEDICINE,OH,Healthcare Provider,2869.0,2020-08-28,2020,Theft,Theft,Other,No,Archived,4
Northwestern Memorial HealthCare,IL,Healthcare Provider,55983.0,2020-08-28,2020,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,0
"Utah Pathology Services, Inc.",UT,Healthcare Provider,148594.0,2020-08-28,2020,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
Assured Imaging,AZ,Healthcare Provider,244813.0,2020-08-27,2020,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
Main Line Health,PA,Healthcare Provider,60595.0,2020-08-26,2020,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,0
Glacier Surgical Associates,AK,Healthcare Provider,1538.0,2020-08-25,2020,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
"OrthoSC, LLC",SC,Healthcare Provider,3027.0,2020-08-25,2020,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
Waystar Health,KY,Business Associate,1021.0,2020-08-25,2020,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,3
City of Lafayette,CO,Healthcare Provider,9149.0,2020-08-25,2020,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
"Consultant Anesthesiologists, Inc.",OH,Healthcare Provider,740.0,2020-08-25,2020,Theft,Theft,Paper/Films,No,Archived,4
MultiCare Health System,WA,Healthcare Provider,179189.0,2020-08-22,2020,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,0
Elwyn,PA,Healthcare Provider,16579.0,2020-08-21,2020,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
HealthFirst Bluegrass,KY,Healthcare Provider,971.0,2020-08-21,2020,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
Washington State Department of Social and Health Services,WA,Health Plan,648.0,2020-08-20,2020,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Email,No,Archived,2
Saint Luke's Foundation,MO,Healthcare Provider,360212.0,2020-08-20,2020,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,0
Humana Inc,KY,Health Plan,564.0,2020-08-19,2020,Hacking/IT Incident,Hacking/IT Incident,Other,No,Archived,2
"Hamilton Health Center, Inc.",PA,Healthcare Provider,10393.0,2020-08-18,2020,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
Arnot Health,NY,Healthcare Provider,1164.0,2020-08-18,2020,Hacking/IT Incident,Hacking/IT Incident,"Email, Network Server",Yes,Archived,0
Imperium Health LLC,KY,Business Associate,139114.0,2020-08-17,2020,Hacking/IT Incident,Hacking/IT Incident,Email,Yes,Archived,3
Richard J. Caron Foundation,PA,Healthcare Provider,22718.0,2020-08-17,2020,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,0
Cook Children's Medical Center,TX,Healthcare Provider,2827.0,2020-08-17,2020,Loss,Loss,Other Portable Electronic Device,No,Archived,1
Prospect Medical Holdings (Crozer-Keystone Health System),PA,Healthcare Provider,177023.0,2020-08-14,2020,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
Selected Benefits,PA,Business Associate,8100.0,2020-08-14,2020,Hacking/IT Incident,Hacking/IT Incident,Email,Yes,Archived,3
"D&S Residential Holdings, LLC",TX,Healthcare Provider,2102.0,2020-08-14,2020,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
Advocate Aurora Health,WI,Healthcare Provider,1907.0,2020-08-14,2020,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Paper/Films,Yes,Archived,1
University of Florida Health,FL,Healthcare Provider,135959.0,2020-08-14,2020,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,0
UT Southwestern Medical Center,TX,Healthcare Provider,15535.0,2020-08-13,2020,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Other,No,Archived,1
Idaho State University Dental Hygiene,ID,Healthcare Provider,543.0,2020-08-13,2020,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Email,No,Archived,1
"The Iowa Clinic, P.C.",IA,Healthcare Provider,914.0,2020-08-11,2020,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Paper/Films,No,Archived,1
"BeneSys, Inc.",MI,Business Associate,1070.0,2020-08-10,2020,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Email,Yes,Archived,3
Ashley County Medical Center,AR,Healthcare Provider,772.0,2020-08-07,2020,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Electronic Medical Record,No,Archived,1
"The Connection, Inc.",CT,Healthcare Provider,3736.0,2020-08-07,2020,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
"Dynasplint Systems, Inc.",MD,Healthcare Provider,102800.0,2020-08-06,2020,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
Summit Medical Associates,IN,Healthcare Provider,7264.0,2020-08-04,2020,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
Northern Light Health,ME,Business Associate,304399.0,2020-08-03,2020,Hacking/IT Incident,Hacking/IT Incident,"Network Server, Other",Yes,Archived,3
Hoag Clinic,CA,Healthcare Provider,738.0,2020-08-03,2020,Theft,Theft,Laptop,No,Archived,4
Comanche County Hospital Authority,OK,Health Plan,1112.0,2020-08-03,2020,Hacking/IT Incident,Hacking/IT Incident,Email,Yes,Archived,2
"St. Peter's Health Partners Medical Associates, P.C.",NY,Healthcare Provider,2333.0,2020-08-03,2020,Loss,Loss,Other,Yes,Archived,1
Freeport Regional Health Care Foundation,IL,Healthcare Provider,80795.0,2020-07-31,2020,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
St. Christopher's Hospital for Children,PA,Healthcare Provider,7557.0,2020-07-31,2020,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Email,No,Archived,1
Muskingum Valley Health Centers,OH,Healthcare Provider,7447.0,2020-07-31,2020,Hacking/IT Incident,Hacking/IT Incident,Electronic Medical Record,No,Archived,0
Elkins Rehabilitation & Care Center,WV,Healthcare Provider,3127.0,2020-07-30,2020,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
Berkshire Farm Center and Services for Youth,NY,Healthcare Provider,4950.0,2020-07-30,2020,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
Rite Aid Corporation,PA,Healthcare Provider,13600.0,2020-07-29,2020,Theft,Theft,Paper/Films,No,Archived,4
Aetna ACE,CT,Health Plan,1084.0,2020-07-29,2020,Hacking/IT Incident,Hacking/IT Incident,Email,Yes,Archived,2
Beaumont Health,MI,Healthcare Provider,6073.0,2020-07-28,2020,Hacking/IT Incident,Hacking/IT Incident,"Email, Network Server",No,Archived,0
Children's Hospital Colorado,CO,Healthcare Provider,2553.0,2020-07-27,2020,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
Owens Ear Center,TX,Healthcare Provider,19908.0,2020-07-27,2020,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
"Behavioral Health Network, Inc.",MA,Healthcare Provider,129571.0,2020-07-27,2020,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
"University of Maryland Faculty Physicians, Inc. / University of Maryland Medical Center",MD,Healthcare Provider,33896.0,2020-07-24,2020,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
Walgreen Co.,IL,Healthcare Provider,80176.0,2020-07-24,2020,Theft,Theft,"Other Portable Electronic Device, Paper/Films",No,Archived,4
Town of Babylon,NY,Healthcare Provider,1974.0,2020-07-24,2020,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
Foundation Surgical Hospital of San Antonio,TX,Healthcare Provider,1237.0,2020-07-24,2020,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Other,No,Archived,1
"Supervalu Pharmacies, Inc.",MN,Healthcare Provider,1593.0,2020-07-24,2020,Theft,Theft,"Other, Paper/Films",No,Archived,4
CVS Pharmacy,RI,Healthcare Provider,26234.0,2020-07-24,2020,Loss,Loss,Paper/Films,No,Archived,1
Highpoint Foot & Ankle Center,PA,Healthcare Provider,25554.0,2020-07-20,2020,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
University of Utah,UT,Healthcare Provider,6606.0,2020-07-20,2020,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
Mountain Peaks Family Practice,UT,Healthcare Provider,1505.0,2020-07-20,2020,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Paper/Films,No,Archived,1
NCP Healthcare Management Company,MA,Business Associate,78070.0,2020-07-17,2020,Hacking/IT Incident,Hacking/IT Incident,Email,Yes,Archived,3
"Brandywine Counseling & Community Services, Inc",DE,Healthcare Provider,4139.0,2020-07-17,2020,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Paper/Films,No,Archived,1
Maryland Health Enterprises DBA Lorien Health Services,MD,Healthcare Provider,537.0,2020-07-17,2020,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
Allergy and Asthma Clinic of Fort Worth,TX,Healthcare Provider,69777.0,2020-07-16,2020,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
"US HealthCenter, Inc.",WI,Business Associate,1441.0,2020-07-16,2020,Hacking/IT Incident,Hacking/IT Incident,Email,Yes,Archived,3
WellCare Health Plans,FL,Health Plan,50440.0,2020-07-16,2020,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Paper/Films,No,Archived,2
"Heartland Counseling Services, Inc.",NE,Healthcare Provider,723.0,2020-07-16,2020,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Email,No,Archived,1
"The Puerto Rican Organization to Motivate, Enlighten, and Serve Addicts, Inc. (PROMESA)",NY,Healthcare Provider,3129.0,2020-07-16,2020,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
SRPMIC Employee Health Plan,AZ,Health Plan,1708.0,2020-07-15,2020,Hacking/IT Incident,Hacking/IT Incident,"Email, Network Server",Yes,Archived,2
Wisconsin Department of Corrections,WI,Healthcare Provider,1853.0,2020-07-15,2020,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Network Server,No,Archived,1
"Coalinga Valley Health Clinics, Inc.",CA,Healthcare Provider,1463.0,2020-07-14,2020,Theft,Theft,Paper/Films,No,Archived,4
City Dental,CA,Healthcare Provider,900.0,2020-07-14,2020,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
"Greenway Health, LLC",FL,Business Associate,2490.0,2020-07-10,2020,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,3
"Jim Dinh, DC",TX,Business Associate,500.0,2020-07-10,2020,Theft,Theft,"Desktop Computer, Laptop, Other Portable Electronic Device",Yes,Archived,3
"Tak-ming Ko, M.D., LLC",AK,Healthcare Provider,1158.0,2020-07-09,2020,Hacking/IT Incident,Hacking/IT Incident,Electronic Medical Record,Yes,Archived,0
"Hutton & Hale, D.D.S.",CA,Healthcare Provider,8394.0,2020-07-08,2020,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
"Accu Copy of Greenville, Incorporated",NC,Business Associate,21800.0,2020-07-06,2020,Hacking/IT Incident,Hacking/IT Incident,"Desktop Computer, Network Server",Yes,Archived,3
Four Winds Behavioral Health,NM,Healthcare Provider,500.0,2020-07-06,2020,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
Central California Alliance for Health,CA,Health Plan,35940.0,2020-07-02,2020,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,2
Independence Blue Cross,PA,Business Associate,2393.0,2020-07-02,2020,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Network Server,Yes,Archived,3
Florida Orthopaedic Institute,FL,Healthcare Provider,651527.0,2020-07-01,2020,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
Carter and Hoff Dentistry,NC,Healthcare Provider,7000.0,2020-07-01,2020,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
"WellCare Health Plans, Inc.",FL,Health Plan,2794.0,2020-06-30,2020,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Other,Yes,Archived,2
Maxwell Aesthetics,TN,Healthcare Provider,656.0,2020-06-30,2020,Hacking/IT Incident,Hacking/IT Incident,Desktop Computer,No,Archived,0
Salinas Valley Memorial Healthcare System,CA,Healthcare Provider,2384.0,2020-06-29,2020,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
"Premier Kids Care, Inc.",GA,Healthcare Provider,6265.0,2020-06-29,2020,Hacking/IT Incident,Hacking/IT Incident,"Desktop Computer, Network Server",No,Archived,0
M&T Bank,NY,Business Associate,5878.0,2020-06-29,2020,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Email,Yes,Archived,3
"Benefit Recovery Specialists, Inc.",TX,Business Associate,447354.0,2020-06-26,2020,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,3
Rose Dental,TX,Healthcare Provider,6169.0,2020-06-26,2020,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
Rose Dental,TX,Healthcare Provider,2835.0,2020-06-26,2020,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
"The StayWell Company, LLC",PA,Business Associate,971.0,2020-06-26,2020,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,3
"Sage Behavior Services, Inc",CA,Healthcare Provider,763.0,2020-06-25,2020,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,0
Morneau Shepell Limited,IL,Healthcare Provider,1162.0,2020-06-25,2020,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
"Eye Physicians of Pinellas, PA dba The Eye Institute of West Florida",FL,Healthcare Provider,1650.0,2020-06-24,2020,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Email,No,Archived,1
"Grace & Porta Benefits, inc.",MI,Health Plan,572.0,2020-06-23,2020,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,2
"Iowa Total Care, Inc.",IA,Health Plan,11581.0,2020-06-23,2020,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Email,No,Archived,2
"Friendship Community Care, Inc.",AR,Healthcare Provider,10845.0,2020-06-22,2020,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Email,No,Archived,1
CHI St. Luke's Health Memorial,TX,Healthcare Provider,1045.0,2020-06-19,2020,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
Ledger Dentistry,FL,Healthcare Provider,538.0,2020-06-19,2020,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Email,No,Archived,1
Human Affairs International of California,CA,Business Associate,15843.0,2020-06-19,2020,Hacking/IT Incident,Hacking/IT Incident,"Email, Network Server",Yes,Archived,3
"CodeMetro, Inc.",CA,Business Associate,62807.0,2020-06-19,2020,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,3
American Medical Technologies,CA,Healthcare Provider,47767.0,2020-06-18,2020,Hacking/IT Incident,Hacking/IT Incident,"Electronic Medical Record, Email",No,Archived,0
North Shore Pain Management,MA,Healthcare Provider,12472.0,2020-06-18,2020,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
"ABA Pathways, LLC",MI,Healthcare Provider,775.0,2020-06-18,2020,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,0
The Kroger Company,OH,Healthcare Provider,132258.0,2020-06-18,2020,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Network Server,No,Archived,1
"Oral and Maxillofacial Surgery Associates, P.A.",SC,Healthcare Provider,35498.0,2020-06-17,2020,Hacking/IT Incident,Hacking/IT Incident,"Desktop Computer, Network Server, Other Portable Electronic Device",No,Archived,0
Frank D. Lanterman Regional Center,CA,Healthcare Provider,3489.0,2020-06-16,2020,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,0
Providence Health Plan,OR,Health Plan,49511.0,2020-06-16,2020,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Network Server,Yes,Archived,2
Senior Whole Health of New York,NY,Health Plan,3853.0,2020-06-16,2020,Hacking/IT Incident,Hacking/IT Incident,"Email, Network Server",No,Archived,2
"Choice Health Management Services, LLC",NC,Business Associate,8692.0,2020-06-15,2020,Hacking/IT Incident,Hacking/IT Incident,Email,Yes,Archived,3
The Waldorf Center,OR,Healthcare Provider,608.0,2020-06-15,2020,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
Legacy Community Health Services,TX,Healthcare Provider,19000.0,2020-06-15,2020,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
"Magellan Complete Care of Virginia, LLC",MD,Health Plan,3568.0,2020-06-15,2020,Hacking/IT Incident,Hacking/IT Incident,"Email, Network Server",No,Archived,2
Cano Health,FL,Healthcare Provider,28268.0,2020-06-12,2020,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
UF Health Jacksonville,FL,Healthcare Provider,54002.0,2020-06-12,2020,Hacking/IT Incident,Hacking/IT Incident,Email,Yes,Archived,0
UF Health Shands,FL,Healthcare Provider,13146.0,2020-06-12,2020,Hacking/IT Incident,Hacking/IT Incident,Email,Yes,Archived,0
University of Florida,FL,Healthcare Provider,9182.0,2020-06-12,2020,Hacking/IT Incident,Hacking/IT Incident,Email,Yes,Archived,0
"Anil Mehta, MD, Inc.",CA,Healthcare Provider,846.0,2020-06-12,2020,Theft,Theft,"Desktop Computer, Paper/Films",No,Archived,4
Healthcare Fiscal Management Inc.,NC,Business Associate,130573.0,2020-06-12,2020,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,3
Integra Managed Care,NY,Health Plan,644.0,2020-06-12,2020,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Paper/Films,Yes,Archived,2
"Sunrise Treatment Center,LLC",OH,Healthcare Provider,3660.0,2020-06-12,2020,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
Magellan Rx Pharmacy,MD,Healthcare Provider,33040.0,2020-06-12,2020,Hacking/IT Incident,Hacking/IT Incident,"Email, Network Server",No,Archived,0
Magellan Healthcare,MD,Business Associate,50410.0,2020-06-12,2020,Hacking/IT Incident,Hacking/IT Incident,"Email, Network Server",Yes,Archived,3
Magellan Complete Care of Florida,FL,Health Plan,76236.0,2020-06-12,2020,Hacking/IT Incident,Hacking/IT Incident,"Email, Network Server",No,Archived,2
Merit Health Insurance Company,IL,Health Plan,102748.0,2020-06-12,2020,Hacking/IT Incident,Hacking/IT Incident,"Email, Network Server",No,Archived,2
National Imaging Associates,MD,Business Associate,22560.0,2020-06-12,2020,Hacking/IT Incident,Hacking/IT Incident,"Email, Network Server",Yes,Archived,3
Magellan Rx Management,AZ,Business Associate,314704.0,2020-06-12,2020,Hacking/IT Incident,Hacking/IT Incident,"Email, Network Server",Yes,Archived,3
Magellan Health Inc.,AZ,Health Plan,1013956.0,2020-06-12,2020,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,2
"Axis Neuromonitoring, Inc., d/b/a Apex IONM Solutions",TX,Business Associate,1876.0,2020-06-11,2020,Hacking/IT Incident,Hacking/IT Incident,Email,Yes,Archived,3
