Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Year,Type of Breach,Primary Breach Type,Location of Breached Information,Business Associate Present,Status,cluster
Hawaii Pacific Health,HI,Business Associate,3772.0,2020-03-17,2020,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Electronic Medical Record,Yes,Archived,3
"Augusta Foot & Ankle, P.C.",GA,Healthcare Provider,4854.0,2020-03-17,2020,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
Lifesprk,MN,Healthcare Provider,9000.0,2020-03-17,2020,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
"Tandem Diabetes Care, Inc.",CA,Healthcare Provider,140781.0,2020-03-17,2020,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
Lakewood Health System,MN,Healthcare Provider,1415.0,2020-03-16,2020,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
Hao Rong DDS Inc dba Genuine Care Dental,CA,Healthcare Provider,2190.0,2020-03-14,2020,Theft,Theft,Network Server,No,Archived,4
Randleman Eye Center,NC,Healthcare Provider,19556.0,2020-03-13,2020,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
"Allegheny County, PA",PA,Health Plan,3394.0,2020-03-13,2020,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Network Server,No,Archived,2
TriHealth Cancer Institute,OH,Healthcare Provider,912.0,2020-03-13,2020,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Paper/Films,No,Archived,1
"Foundation Medicine, Inc.",MA,Healthcare Provider,2999.0,2020-03-13,2020,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
North Texas Institute of Neurology and Headache,TX,Healthcare Provider,500.0,2020-03-13,2020,Theft,Theft,Laptop,Yes,Archived,4
Northeast Radiology,NY,Healthcare Provider,298532.0,2020-03-11,2020,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,0
The Prudential Insurance Company of America,NJ,Health Plan,1945.0,2020-03-11,2020,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,2
OneDigital Health and Benefits,GA,Business Associate,22894.0,2020-03-06,2020,Theft,Theft,Laptop,Yes,Archived,3
Conagra Brands Welfare Benefit Wrap Plan,IL,Health Plan,1713.0,2020-03-06,2020,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Paper/Films,No,Archived,2
Torrance Memorial Medical Center,CA,Healthcare Provider,3498.0,2020-03-06,2020,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
Stephan C Dean,CA,Business Associate,70000.0,2020-03-04,2020,Hacking/IT Incident,Hacking/IT Incident,"Desktop Computer, Electronic Medical Record, Email",Yes,Archived,3
Elk Ridge Dentistry,CO,Healthcare Provider,2793.0,2020-03-02,2020,Theft,Theft,Other Portable Electronic Device,No,Archived,4
Alameda Alliance for Health,CA,Health Plan,500.0,2020-02-28,2020,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,2
Walgreen Company,IL,Healthcare Provider,6681.0,2020-02-28,2020,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Network Server,No,Archived,1
"Ozark Orthopaedics, PA",AR,Healthcare Provider,15240.0,2020-02-28,2020,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
Riverview Health,IN,Healthcare Provider,2610.0,2020-02-28,2020,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Paper/Films,Yes,Archived,1
"Vail Clinic, Inc. dba Vail Health Hospital",CO,Healthcare Provider,710.0,2020-02-27,2020,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Network Server,No,Archived,1
Fairfield Anesthesia Associates LLC,CT,Healthcare Provider,800.0,2020-02-27,2020,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Desktop Computer,No,Archived,1
Harris County Hospital District d/b/a Harris Health System,TX,Healthcare Provider,2298.0,2020-02-27,2020,Loss,Loss,Paper/Films,No,Archived,1
"Interactive Medical Systems, Corp.",NC,Business Associate,15010.0,2020-02-27,2020,Hacking/IT Incident,Hacking/IT Incident,Email,Yes,Archived,3
Munson Healthcare,MI,Healthcare Provider,75202.0,2020-02-26,2020,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
AFTRA Retirement Fund,NY,Business Associate,57900.0,2020-02-25,2020,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,3
Engage Behavioral Health,FL,Healthcare Provider,650.0,2020-02-24,2020,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
"Government Employees Health Association, Inc.",MO,Health Plan,696.0,2020-02-22,2020,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Paper/Films,No,Archived,2
Rady Children's Hospital San Diego,CA,Healthcare Provider,2360.0,2020-02-21,2020,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Network Server,No,Archived,1
"Rainbow Hospice Care, Inc.",WI,Healthcare Provider,2029.0,2020-02-21,2020,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
The Queen’s Health Systems Affiliated Covered Entity,HI,Healthcare Provider,2852.0,2020-02-20,2020,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Email,No,Archived,1
"Endeavor Energy Resources, L.P.",TX,Health Plan,5103.0,2020-02-20,2020,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,2
Lake County Health Department,IL,Healthcare Provider,14488.0,2020-02-19,2020,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Email,No,Archived,1
